Our Small Wonders Toddlers Pre+AC0-School Montessori,85.3266999,27.7196848
Kaiser Library,85.3145566,27.7147995
The Bal Mandir Kindergarten,85.3314024,27.7140495
Shahid Smriti Pustakalaya,85.2768684,27.668801
Mills Berry School,85.3191849,27.7208063
Pure Love Nursery( A peaceful Home School),85.3344414,27.7120366
International School of Tourism +ACY- Hotel Management,85.3278517,27.7072192
Mountain Television,85.3264215,27.7058896
Shree Bal Sikchya Higher Secondary School,85.8293716,27.7554804
School of Creative Communications,85.3184409,27.68621
Vidhyalaya Sikchak Pustakalaya,85.2988076,27.7030671
BERNHARDT COLLEGE,85.2831206,27.7020617
Jana Vikash Secondary School,85.3385837,27.612188
Manmohan Memorial College,85.3092615,27.7186221
Sandra Namuna School,85.3095534,27.7194598
Manmohan Memorial College,85.3091293,27.7185317
People Campus (Block A),85.3083463,27.7145238
People Campus (Block B),85.3085441,27.7144347
West Wood International Pre+AC0-school,85.3134273,27.7226708
waterbrdige test,85.3184996,27.6844863
Hobby Art Class,85.3163406,27.6817925
Sakar Academy,83.9713961,28.2008131
Nepal Engineering College,85.4155301,27.7095522
Malpi international collage,85.515022,27.5892791
Panauti English Secondary Boarding School,85.5163015,27.5939714
Siddhartha Vanasthali Institute,85.4957353,27.586193
Sai Jyoti,88.0716606,26.8933731
Fikkal High School,88.0707282,26.8944802
Bethel Library,85.3458796,27.7037125
Asian College,85.3099818,27.6704588
Kanti Ishwori School,85.3131083,27.6933442
Kids Wonderland,85.3376976,27.6945435
Management college,85.2924954,27.6934156
Bal Bikas Kendra,85.3861405,27.6770149
Best Montessori E. School,85.3440975,27.7226662
U2 International College,85.344431,27.7223934
ST.Xavier Higher Secondary School,84.882132,27.023053
CITE,85.3456109,27.6843781
Kids Garden Montessori School,85.3481103,27.6819924
NavaJyoti School and College,85.3482925,27.6823907
Addison Academy,85.3374521,27.736776
+ACI-IEC College of Art +ACY- Fashion, Chandol+ACI-,85.338357,27.7275896
Ankur PreSchool,85.3163165,27.7361543
Lasana PreSchool,85.3143755,27.7354321
Little North Montessori School,85.3142913,27.735716
NEA College,85.3179385,27.7359895
Children's Paradise Boarding School,81.627924,28.5896705
Pipira School,81.6415279,28.5696735
Latikoili Secondary School,81.6053731,28.5762686
SOS School,81.6022309,28.6063471
Hilaros Montessori Pre+AC0-School,85.3181269,27.6771472
Moulding Minds Montessory,85.3189231,27.655785
Shree Krishna Higher Secondary School,81.6260839,28.5981392
Itram School,81.6256333,28.5992884
New Shine Academy High School,85.3321747,27.6953948
Swapna Batika Montessori School,85.3461211,27.6960927
Florence,85.2873004,27.7066096
ABC Multifilms and Dance School,85.344491,27.6954297
Steiner Montesswori,85.3384741,27.6938952
Stiener Academy,85.3387237,27.6938686
Padmakanya Vidyashram H.S. School and College,85.3259582,27.705349
Chameli Devi Ma Vi,84.4144269,27.6858728
Little Flower School,84.4130218,27.6862315
River Valley English Secondary school,83.5725149,27.8259033
Shree Damkada Higher Secondary School,83.5680946,27.8240151
mandhavya Campus,83.5665312,27.8249292
shankhadevi higher s.school,85.3661826,27.6299777
+ACI-Alta+AC0-Vista, A school of Spanish Language+ACI-,85.3229725,27.7057461
Vidyadayini School,85.3765911,27.673463
Gothbhanjyang Higher Secondary School,85.3243309,27.5305804
Shree Biretanti Secondary School,83.7761071,28.3113551
Samaj School of Dentistry,85.3576673,27.7257973
Shree Narayani Gandaki H.S.S,83.8894562,27.4459155
Shree Nepal Lower Secondary School,83.8884379,27.4701924
Ujjwal Sishu Boarding School,83.9004664,27.4535494
Manang CPS,85.3604664,27.6894439
Annapurna Ma.V,85.3037355,27.6743548
Cambridge College,85.2983923,27.6871127
intensive international college,85.2953077,27.6967359
Babu Bidhya Mandir U Ma V,85.3177465,27.6831568
Dev Ideal English Boarding School,86.4763142,26.7131281
School of Kolar,84.5904395,27.7566911
School of Uppardang Gadi,84.58219,27.7661798
shree budha secoundary school,85.3509543,27.6170815
Gramin Adarsha,85.3031686,27.7421178
AIMS International College,85.3226379,27.6682044
Subha Play Group and Pre School,85.2962038,27.7238183
Janamaitre Foundation Institute of Health Science,85.3031224,27.728144
Cambridge College,85.2804068,27.6936118
Research International Montessori,85.3584205,27.7182551
 ,84.4230193,27.6900646
Siddhartha Higher Secondary School,84.8902618,27.0358882
Gautam Secondary School,84.8921886,27.0313289
Birgunj Public College,84.8842339,27.0143985
Kadambari Academy,84.8889383,27.02828
Himalayan Secondary School,84.8828556,27.0227251
