name,xcoord,ycoord,,
Kantipur Saving +ACY- credit Co+AC0-operative,85.3146854,27.672498,,
Kuber Merchant Finance Limited,85.3171086,27.6720405,,
Kumari Bank Limited,85.318854,27.6712663,,
Pashupati Saving +ACY- credit Co+AC0-operative Ltd,85.3177791,27.6719128,,
Sagarmatha Merchant Banking,85.3165185,27.6721826,,
Shayatri Saving +ACY- Credit,85.3169502,27.6721271,,
Star Saving +ACY- credit Co+AC0-operative Ltd,85.3191609,27.6709719,,
Theme Saving +ACY- Credit Co+AC0-operative Ltd.,85.3186442,27.6716378,,
Commerce +ACY- Trust Bank Nepal,85.3157612,27.6755379,,
Nepal SBI Bank Limited,85.3141873,27.673327,,
Fair Price Consumer Cooperative Shop,85.3182935,27.6730112,,
Prabhu Bank Limited,85.3209262,27.6740589,,
Machhapuchchhre Bank Limited,85.3206818,27.6740782,,
Maitri Multipurpose Cooperative,85.3201386,27.674683,,
Twaadewa Saving +ACY- Credit Co+AC0-operative,85.3206309,27.6745819,,
Sunrise atm,85.4291621,27.6715462,,
+ACI-Nepal Investment Bank, Dhumbharai+ACI-,85.3395411,27.7240004,,
+ACI-Nepal Investmant Bank, Gongabu+ACI-,85.3149961,27.7346108,,
Sunrise Bank,85.3277274,27.7180014,,
Prudential Finance Company,85.3231505,27.7135642,,
Durga Bhawani Saving +ACY- Credit Co+AC0-operative,85.3397492,27.7241154,,
Kist Bank Jorpati Branch,85.369907,27.7216373,,
Nabil Bank,85.3315418,27.7190344,,
Nepal Investment Bank,85.3315791,27.719027,,
Nepali SBI Bank Ltd.,85.3317512,27.7189602,,
Prabhu Finance,85.3151506,27.7181333,,
Global Money Express,85.3164736,27.7176685,,
Himalayan Bank,85.4303154,27.6719256,,
Himalayan Bank,85.4301347,27.6719355,,
Triveni Bikash Bank,84.4228312,27.6940989,,
Everest Bank,85.3108402,27.7182702,,
Prime Bank,85.3141611,27.7254569,,
Everest Bank,85.3119675,27.7166413,,
Global IME Bank,85.3105427,27.7149547,,
Nabil Bank,85.3101827,27.7145095,,
Everest Bank Limited,85.3059384,27.7244569,,
Nepal Awas Finance Limited,85.3449838,27.6859917,,
Sana Kisan Bikash Bank,85.3459131,27.6839505,,
Global IME Bank,85.3372824,27.6944391,,
Grand Bank Nepal Limited,85.3376582,27.6969544,,
Prabhu Bank Limited,85.338423,27.6996411,,
Kumari Bank,85.3390338,27.7013941,,
