Name_of_Br,xcoord,ycoord
Balganga,85.037888889,27.1797222220001
Baijura,85.018833333,27.186305556
Dudhaura,85.012444444,27.188472222
Dhungre - 1,85.0039166670001,27.191333333
Dhungre - 2,85.0015000000001,27.192194444
Tin Number,84.9861666670001,27.1975
Dui Number,84.9919722220001,27.1955
Ek Number,84.984305556,27.1981666670001
Amlekhgunj - 1,84.9904722220001,27.290944444
Amlekhgunj - 2,84.9985,27.305166667
Amlekhgunj - 3,85.0044722220001,27.31875
Amlekhgunj - 4,85.0039166670001,27.3214722220001
Badahkim,84.9950000000001,27.335055556
Gundo,84.9930833330001,27.3434444440001
Churiya,85.0048888890001,27.3616944440001
Pakkipul,85.0058888890001,27.3638888890001
Sansare,85.0070555560001,27.3655833330001
Sayafut,85.00775,27.3671944440001
Karra,85.0264444440001,27.41425
Rapti,85.0227222220001,27.431805556
Manahari,84.809388889,27.5365555560001
Lothar,84.7330000000001,27.584944444
Lothar Branch,84.719722222,27.587055556
Mardar,84.6694722220001,27.601444444
Pampha,84.6208888890001,27.604861111
Budhi Rapti,84.5593611110001,27.614027778
Kair,84.5330000000001,27.6177777780001
Budhi Khola,84.5139444440001,27.622361111
Khageri - 2,84.490472222,27.632444444
Khageri - 1,84.489305556,27.6328888890001
Narayani,84.4220000000001,27.698
Bishnumati Bridge,85.302583333,27.698055556
Manamati Bridge,85.2932500000001,27.696277778
Khadkulo Bridge,85.277555556,27.692138889
Balkhu Khola,85.2602777780001,27.6861666670001
Khatripauwa River,85.1962833330001,27.7081166670001
Naubise Bridge,85.1518611110001,27.715611111
Sungure,85.1324444440001,27.719722222
Thakra,85.1273055560001,27.722611111
Shoping,85.1160000000001,27.721138889
Palung,85.0891666670001,27.635
Mahabir,85.067722222,27.5661111110001
Kalitar,85.0443611110001,27.530305556
Chandi,85.0479722220001,27.522277778
Bhaise,85.0515833330001,27.508583333
Trikhanda,85.0500000000001,27.503
Ratmate,85.046472222,27.4942222220001
Bailabaas,85.0418055560001,27.4710277780001
Samari,85.0435833330001,27.457277778
Seto,84.9796388890001,27.1900277780001
Lalka,84.963888889,27.139916667
Sirsiya,84.9208611110001,27.078027778
Dhobi Khola,85.3281111110001,27.6906666670001
Bagmati,85.3435000000001,27.686583333
Manohara,85.3583333330001,27.673694444
Manohara,85.3583333330001,27.6736666670001
Hanumante,85.3996666670001,27.671555556
Hanumante,85.3996111110001,27.67425
Jagate,85.4417500000001,27.6641111110001
Mahadev Khola,85.489611111,27.6356666670001
Punyamata,85.5145277780001,27.632166667
Jhiku,85.6171944440001,27.642694444
Indrawati,85.7054166670001,27.639361111
Tinpate,85.7433611110001,27.6906388890001
Lippe,85.7618055560001,27.7048333330001
Kukre,85.7621388890001,27.707555556
Chynne,85.769972222,27.71775
Balephi,85.7795000000001,27.7326944440001
Chhate,85.811861111,27.747888889
