GAPA_NAPA,GN_TYPE,DISTRICT,PROVINCE,Com_nofaci,Com_1least,Com_Radio,Com_Televi,Com_Cablet,Com_comput,Com_intern,Com_Teleph,Com_Mobile,Cook_wood,Cook_Keros,Cook_LPgas,Cooking_Sa,Cook_Bioga,Cook_Elec,Cook_Other,Cook_Nosta,Light_Elec,Light_Kero,Light_Biog,Light_Sola,Light_Othe,Light_Nons,Water_Tap,Water_Tube,Water_Co_k,Water_Unco,Water_spou,Water_rive,Water_othe,Water_Nots,Toilet_Wit,Toilet_Flu,Toilet_Ord,Toilet_not
Gokulganga,Gaunpalika,RAMECHHAP,3,597,3579,2918,852,244,38,9,33,2574,3294,94,158,3558,106,0,9,66,4074,3085,10,45,5,66,563,6595,8,13,6,0,35,65,6391,541,287,66
Khadadevi,Gaunpalika,RAMECHHAP,3,1053,4073,3565,467,13,8,0,63,2577,5856,5,701,273,220,1,14,14,6592,456,4,5,12,15,273,6704,7,0,2,7,76,15,2374,4145,550,15
Likhu Tamakoshi,Gaunpalika,RAMECHHAP,3,990,3805,3462,183,41,16,1,104,2419, , , , , , , , , , , , , , , , , , , , , , , , , , 
Manthali,Nagarpalika,RAMECHHAP,3,1718,8018,6466,1745,782,264,89,401,5909, , , , , , , , , , , , , , , , , , , , , , , , , , 
Ramechhap,Nagarpalika,RAMECHHAP,3,1261,4730,4341,958,203,39,4,235,2693,856,97,73,4493,16,2,10,46,2898,2621,6,20,3,45,682,4789,8,5,1,0,63,45,5264,182,101,46
Sunapati,Gaunpalika,RAMECHHAP,3,761,3153,2776,441,10,25,4,66,1942,983,126,443,8222,41,1,21,109,5830,3884,18,34,72,108,1986,7488,11,29,7,0,315,110,7838,995,1002,111
Umakunda,Gaunpalika,RAMECHHAP,3,631,3115,2879,546,36,28,4,148,1946,628,121,34,4374,23,2,3,78,1462,3676,11,36,0,78,1243,3901,6,9,1,0,27,76,5002,129,54,78
Baiteshwor,Gaunpalika,DOLAKHA,3,693,4294,3752,1398,122,127,15,26,3004,5999,76,62,784,14,0,4,98,4603,2198,11,125,2,98,246,3622,451,2428,27,99,69,95,5776,822,344,95
Bhimeshwor,Nagarpalika,DOLAKHA,3,1028,7504,6069,3364,1922,504,145,368,5660,2337,65,48,4141,5,1,214,101,4707,2053,10,41,1,100,1091,5643,7,6,3,0,67,95,5346,622,847,97
Bigu,Gaunpalika,DOLAKHA,3,1138,3228,3040,294,9,11,2,60,1127,1220,87,18,3049,8,1,5,73,2214,1989,7,175,2,74,903,3301,8,33,3,1,141,71,3383,490,515,73
Gaurishankar,Gaunpalika,DOLAKHA,3,590,3357,3173,317,40,10,0,77,1513,10821,499,12235,6390,20,8,85,531,27035,2685,136,95,92,546,3023,26413,91,36,46,11,461,508,9463,13210,7372,544
Jiri,Nagarpalika,DOLAKHA,3,451,3379,2765,810,673,148,38,190,2409,1450,100,11,5294,9,0,15,120,2386,3840,21,631,3,118,1329,5463,15,29,0,1,45,117,6294,291,295,119
Kalinchok,Gaunpalika,DOLAKHA,3,971,4363,4108,688,137,44,6,19,2361,1569,53,92,3215,21,2,11,32,4159,707,13,64,20,32,1024,3803,10,5,21,0,100,32,3299,835,828,33
Melung,Gaunpalika,DOLAKHA,3,850,3866,3505,776,143,20,7,19,2463,1779,47,56,3919,13,4,110,138,4496,1402,11,15,4,138,504,5345,4,11,2,0,64,136,4557,896,475,138
Sailung,Gaunpalika,DOLAKHA,3,783,4078,3600,998,194,24,2,30,2876,7277,42,210,425,175,4,10,86,6787,1286,28,30,12,86,3765,284,231,3702,41,94,33,79,5338,744,2061,86
Tamakoshi,Gaunpalika,DOLAKHA,3,620,3712,3245,1047,181,81,23,42,2771,1204,42,32,2787,8,2,16,39,3047,1014,11,19,0,39,318,3690,2,11,2,0,70,37,3419,249,423,39
Balefi,Gaunpalika,SINDHUPALCHOK,3,767,3580,2225,1786,566,122,46,168,2828,3829,4,108,0,1,0,14,40,2891,33,3,620,409,40,3447,0,3,5,436,58,9,38,742,1363,1852,39
Barhabise,Nagarpalika,SINDHUPALCHOK,3,1512,4589,2586,1985,771,130,54,240,3763,1930,2,0,0,1,3,1,7,555,45,0,725,612,7,1186,0,0,1,589,161,0,7,619,1036,282,7
Bhotekoshi,Gaunpalika,SINDHUPALCHOK,3,958,3165,1266,1286,1073,65,33,114,2593,1837,0,0,0,1,0,1,9,22,4,0,1204,609,9,1465,0,6,20,257,92,0,8,699,226,914,9
Chautara SangachokGadhi,Nagarpalika,SINDHUPALCHOK,3,1592,9037,6068,4828,924,329,123,345,6925,1697,0,1,0,0,0,2,13,106,8,0,860,727,12,1558,0,0,11,89,13,29,13,618,713,369,13
Helambu,Gaunpalika,SINDHUPALCHOK,3,658,3464,2693,1371,203,27,11,60,2556,2231,0,1,0,1,1,0,13,542,1,1,1012,679,12,1891,0,3,24,280,9,27,13,958,337,939,13
Indrawati,Gaunpalika,SINDHUPALCHOK,3,1272,4786,3442,1908,17,40,7,34,3857,2510,0,1,1,1,1,1,22,1051,0,0,1124,341,21,1308,0,1,3,1028,170,7,20,468,861,1186,22
Jugal,Gaunpalika,SINDHUPALCHOK,3,1070,2829,2426,547,24,17,2,25,1479,1985,0,0,0,1,0,0,10,148,2,0,1208,629,9,1644,0,14,15,295,18,0,10,1044,608,334,10
Lisangkhu Pakhar,Gaunpalika,SINDHUPALCHOK,3,605,3018,2342,1299,90,59,16,103,2464,2692,0,1,0,1,0,0,10,180,6,0,1587,921,10,2186,0,0,1,434,72,1,10,1028,917,749,10
Melamchi,Nagarpalika,SINDHUPALCHOK,3,2106,7907,5110,2700,471,144,66,111,6346,2237,0,1,0,3,0,0,9,716,8,0,933,584,9,1942,0,0,1,37,261,1,8,360,1432,449,9
Panchpokhari Thangpal,Gaunpalika,SINDHUPALCHOK,3,1260,3591,2304,1806,20,15,12,27,2544,2445,1,1,0,1,0,0,10,8,3,0,835,1602,10,1587,0,7,57,748,49,0,10,1086,284,1079,9
Sunkoshi,Gaunpalika,SINDHUPALCHOK,3,817,1472,1326,52,0,3,1,30,776,5924,6,5,12,7,2,2,32,1840,632,12,1493,1981,32,3770,37,22,701,913,502,12,33,3198,1694,1065,33
Tripurasundari,Gaunpalika,SINDHUPALCHOK,3,1033,2345,1701,955,146,12,3,32,1648,1437,0,0,0,2,0,0,8,36,18,0,279,1106,8,333,0,44,14,944,90,14,8,469,41,929,8
Banepa,Nagarpalika,KABHREPALANCHOK,3,345,11583,6521,10123,5036,2581,856,2065,10244,12445,63,105,36,434,3,1,77,8326,2873,16,1314,558,77,5623,1953,236,4588,294,391,6,73,9474,2498,1118,74
Bethanchowk,Gaunpalika,KABHREPALANCHOK,3,518,3005,2061,1732,86,54,6,218,2572,2419,12,0,15,0,0,0,11,367,997,3,682,397,11,2106,1,5,296,1,36,1,11,2257,72,117,11
Bhumlu,Gaunpalika,KABHREPALANCHOK,3,751,3595,2949,1473,93,47,26,109,2169,3537,19,60,6,44,0,0,15,1185,1160,6,748,567,15,3105,9,13,210,190,134,5,15,2712,621,333,15
Chaurideurali,Gaunpalika,KABHREPALANCHOK,3,1166,3461,2908,743,12,32,3,72,2366,4516,7,2,20,16,0,2,23,29,470,6,2778,1280,23,1234,85,232,2445,278,166,124,22,4305,101,156,24
Dhulikhel,Nagarpalika,KABHREPALANCHOK,3,550,6351,3954,4615,1277,786,254,599,5439,10980,101,2526,19,592,7,52,38,10364,1929,36,1262,687,37,9731,1037,663,2322,246,262,17,37,5567,6379,2332,37
Khanikhola,Gaunpalika,KABHREPALANCHOK,3,740,1566,1213,243,10,7,0,115,884,4614,14,43,27,156,0,0,16,26,1037,9,2323,1459,16,1438,538,110,2265,34,462,7,16,4203,483,168,16
Mahabharat,Gaunpalika,KABHREPALANCHOK,3,1019,1790,1383,265,1,11,0,71,1042,2984,12,1,8,7,1,2,20,318,803,4,1041,849,20,2489,2,19,194,186,124,1,20,2434,232,349,20
Mandandeupur,Nagarpalika,KABHREPALANCHOK,3,883,6281,4175,3202,362,187,58,219,5321,4219,28,94,7,196,1,0,12,669,1782,4,1898,192,12,2877,3,18,220,763,664,0,12,2814,1424,307,12
Namobuddha,Nagarpalika,KABHREPALANCHOK,3,650,5692,3883,3557,239,120,21,256,4251,6628,19,46,18,143,0,2,23,507,1759,8,3403,1179,23,4821,53,239,1406,152,179,7,22,4471,1010,1375,23
Panauti,Nagarpalika,KABHREPALANCHOK,3,461,9534,5987,8386,1400,1177,326,1197,8165,4887,30,9,8,1,0,0,58,2075,1553,12,1208,87,58,4301,5,34,357,207,30,2,57,2901,1196,840,56
Panchkhal,Nagarpalika,KABHREPALANCHOK,3,885,7564,4818,5117,582,393,89,464,6563,4344,23,37,0,2,1,1,38,3386,985,9,20,8,38,3742,4,30,111,409,108,4,38,1470,2159,784,33
Roshi,Gaunpalika,KABHREPALANCHOK,3,1320,4421,3541,1027,63,35,6,245,2434,5175,35,34,12,9,1,0,106,1079,1586,5,2392,203,107,3484,3,176,527,733,343,0,106,2413,2088,765,106
Temal,Gaunpalika,KABHREPALANCHOK,3,1122,3540,2644,812,20,38,3,120,2384,4771,29,33,6,11,15,8,55,763,2343,15,1689,65,53,4230,3,65,364,186,26,1,53,1436,2454,983,55
Bagmati,Gaunpalika,LALITPUR,3,1561,4016,3135,753,25,20,1,143,2105,4726,17,84,11,138,3,0,24,3956,943,6,70,5,23,4175,14,11,532,112,94,44,21,2154,1982,845,22
Godawari,Nagarpalika,LALITPUR,3,771,16610,9441,13807,5283,3267,1113,3261,14150,4548,57,22,0,12,0,0,37,2756,1597,10,260,22,31,4022,2,49,216,260,75,17,35,2526,896,1217,37
Konjyosom,Gaunpalika,LALITPUR,3,326,1610,1159,981,44,23,0,66,1138,3374,11,74,0,17,0,3,30,3110,313,4,3,49,30,2985,1,40,91,360,3,0,29,1649,1012,818,30
Lalitpur,Mahanagarpalika,LALITPUR,3,898,68710,41024,46906,46364,28336,14958,25181,63717,3480,13,62,2,4,1,1,19,2799,535,3,3,225,17,3342,7,6,102,86,17,3,19,2029,965,570,18
Mahalaxmi,Nagarpalika,LALITPUR,3,424,14267,7972,9291,8829,4793,1805,4558,12603,3426,9,20,1,19,1,0,35,2721,706,8,40,1,35,3277,0,23,93,77,7,1,33,1301,1279,898,33
Mahankal,Gaunpalika,LALITPUR,3,203,1722,1459,808,109,29,11,72,1362,1477,27,488,0,2,6,11,6,1583,166,0,153,109,6,1853,0,1,6,139,10,2,6,714,877,421,5
Bhaktapur,Nagarpalika,BHAKTAPUR,3,424,17033,8640,15036,9889,5352,2198,4816,15418,5581,17,292,0,17,5,3,23,4748,960,1,150,57,22,4075,0,125,481,1172,57,5,23,860,802,4253,23
Changunarayan,Nagarpalika,BHAKTAPUR,3,404,11510,6880,10143,3856,1924,539,2010,9689,1515,1,0,0,0,0,0,2,14,398,0,877,227,2,1238,0,28,71,149,29,1,2,258,169,1089,2
Madhyapur Thimi,Nagarpalika,BHAKTAPUR,3,350,19785,12262,16307,13285,7529,3863,5626,18540,3843,7,82,1,21,1,1,2,3288,656,0,7,5,2,3247,0,19,352,284,48,6,2,393,672,2891,2
Suryabinayak,Nagarpalika,BHAKTAPUR,3,455,17772,10738,15222,10548,5419,2364,5028,15941,6245,81,1015,0,18,21,7,59,5740,1284,2,313,48,59,3997,1,73,582,2675,56,5,57,899,1998,4489,60
Budhanilakantha,Nagarpalika,KATHMANDU,3,418,25861,15448,20734,17310,8778,4497,7143,23905,7278,140,4439,11,131,18,61,92,11735,246,39,19,39,92,8598,450,1262,728,876,22,143,91,1381,7659,3037,93
Chandragiri,Nagarpalika,KATHMANDU,3,514,19812,11222,15460,12286,5274,2182,5529,17907,1141,754,18168,9,9,18,84,119,19867,185,67,10,43,130,13431,1412,2085,602,1389,2,1263,118,146,19555,472,129
Dakshinkali,Nagarpalika,KATHMANDU,3,370,5025,3102,4314,1838,861,332,819,4453,5516,424,12206,24,46,8,111,111,18040,174,84,18,14,116,15411,638,984,315,727,14,250,107,502,15014,2814,116
Gokarneshwor,Nagarpalika,KATHMANDU,3,649,26060,10923,18018,15396,5432,2152,4298,23836,2181,633,23446,13,18,7,28,159,26039,123,129,11,23,160,16212,1937,4904,621,917,18,1724,152,220,22050,4055,160
Kageshwori Manahora,Nagarpalika,KATHMANDU,3,397,13793,7450,11141,6924,3885,1524,3464,12482,3874,761,15594,15,32,11,80,165,19975,297,81,6,10,163,13804,170,2651,224,2428,28,1069,158,436,16840,3092,164
Kathmandu,Mahanagarpalika,KATHMANDU,3,2903,249301,148315,195795,182144,103045,60371,80413,233802,3602,87,1694,1,25,5,37,37,5231,186,11,6,15,39,4662,6,35,326,401,14,7,37,820,3643,987,38
Kirtipur,Nagarpalika,KATHMANDU,3,286,19077,12911,11483,9636,7751,4504,5038,18097,2391,1268,23080,9,25,11,30,292,26489,129,173,12,8,295,15960,6076,2622,367,1094,128,576,283,368,22975,3465,298
Nagarjun,Nagarpalika,KATHMANDU,3,207,16380,10019,13276,10371,5480,2609,4737,15331,2883,358,10936,4,20,6,21,101,14025,109,78,6,12,99,2962,5014,2872,541,2018,395,434,93,327,9627,4273,102
Shankharapur,Nagarpalika,KATHMANDU,3,525,4765,2887,3382,1110,500,147,512,4044,4439,7541,239297,82,40,142,597,2154,249949,747,1066,105,282,2143,163339,18574,10890,1341,4830,52,53275,1991,545,234299,17274,2174
Tarakeshwor,Nagarpalika,KATHMANDU,3,542,19440,9849,14022,10561,4846,1683,3257,17721,1383,301,17542,15,5,21,53,121,19108,117,84,8,6,118,14734,47,382,52,754,3,3350,119,92,17758,1468,123
Tokha,Nagarpalika,KATHMANDU,3,427,24971,12428,17996,17314,8670,4353,6303,23605,2541,334,13696,7,23,2,33,110,16471,95,42,11,17,110,6307,113,1043,148,2883,22,6123,107,229,14515,1890,112
Belkotgadhi,Nagarpalika,NUWAKOT,3,865,6833,5442,1910,316,102,23,152,5573,499,16,205,0,0,4,0,1,693,12,0,16,3,1,712,0,0,0,3,7,2,1,341,228,155,1
Bidur,Nagarpalika,NUWAKOT,3,1219,10946,6216,5729,3643,923,242,1166,8830,66,4,4,326,0,0,1,3,77,15,0,304,5,3,345,0,0,0,26,30,0,3,185,31,185,3
Dupcheshwar,Gaunpalika,NUWAKOT,3,981,3301,2861,347,47,12,1,35,1660,511,26,321,0,0,11,0,5,862,6,0,1,0,5,863,1,0,0,4,2,0,4,198,640,31,5
Kakani,Gaunpalika,NUWAKOT,3,576,4485,3475,2335,273,94,27,122,3301, , , , , , , , , , , , , , , , , , , , , , , , , , 
Kispang,Gaunpalika,NUWAKOT,3,821,2398,1405,1083,177,29,4,19,1821,19,2,8,499,0,0,2,2,1,3,0,521,5,2,398,0,1,4,1,126,0,2,239,9,282,2
Likhu,Gaunpalika,NUWAKOT,3,690,2243,2037,122,8,7,3,65,1241,2190,10,26,1,1,0,0,1,795,1014,0,409,10,1,2013,1,9,60,122,18,5,1,109,1672,447,1
Myagang,Gaunpalika,NUWAKOT,3,630,2664,1948,1535,94,28,6,114,1602,3485,14,160,2,12,4,0,23,3021,499,11,106,40,23,3498,0,6,25,102,41,6,22,380,1943,1355,22
Panchakanya,Gaunpalika,NUWAKOT,3,433,2748,2266,718,127,30,3,75,1964,5714,45,2787,3,87,2,3,11,8036,480,15,74,36,11,7957,3,29,57,556,11,29,10,1040,6223,1378,11
Shivapuri,Gaunpalika,NUWAKOT,3,1071,3537,2944,433,8,9,3,30,2419,3207,4,4,1,0,2,0,11,1494,620,4,792,308,11,2353,2,9,93,531,229,1,11,1400,729,1090,10
Suryagadhi,Gaunpalika,NUWAKOT,3,797,2652,1876,824,89,33,3,32,2134,4000,8,179,4,15,0,1,16,1942,640,5,635,985,16,3404,1,17,223,519,25,19,15,1053,1650,1504,16
Tadi,Gaunpalika,NUWAKOT,3,661,2697,2270,784,62,31,9,106,1800,3646,5,104,1,68,0,0,1,1560,665,6,1243,349,2,3517,0,58,38,161,29,20,2,221,1932,1670,2
Tarkeshwar,Gaunpalika,NUWAKOT,3,453,2938,2357,704,86,10,100,33,2157,3947,5,126,1,8,0,1,10,2975,797,5,285,26,10,3509,0,17,91,395,75,1,10,1055,2033,1004,6
Shivapuri Watershed and Wildlife Reserve,Watershed and Wildlife Reserve,NUWAKOT,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Langtang National Park,National Park,NUWAKOT,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Gosaikunda,Gaunpalika,RASUWA,3,424,1586,858,687,519,95,52,340,1200,2374,109,532,3679,42,1,25,48,3912,2809,11,25,5,48,972,5726,2,6,4,0,55,45,5886,604,272,48
Kalika,Gaunpalika,RASUWA,3,212,1848,1366,621,383,55,12,113,1424,1489,76,1505,2584,78,0,31,24,4559,1157,6,37,5,23,1010,4667,19,12,38,4,16,21,3567,1783,413,24
Naukunda,Gaunpalika,RASUWA,3,592,1859,1502,274,14,20,3,31,1194,1044,72,207,4166,45,5,78,40,3572,2015,9,13,8,40,1049,4471,11,12,0,2,74,38,4967,451,199,40
Aamachodingmo,Gaunpalika,RASUWA,3,535,756,414,115,26,12,5,26,562,8240,57,3282,94,663,2,33,21,11701,629,12,9,19,22,5108,7033,86,41,4,10,88,22,3061,7130,2179,22
Uttargaya,Gaunpalika,RASUWA,3,436,1394,945,574,394,49,11,87,1084,356,103,54,4515,18,2,0,72,1910,3111,4,23,0,72,115,4897,2,13,0,0,25,68,4736,209,103,72
Benighat Rorang,Gaunpalika,DHADING,3,1309,4783,3550,557,1030,138,42,265,3136,1103,58,91,3076,2,1,4,35,2185,2114,6,28,2,35,21,4156,15,39,4,0,101,34,3759,370,206,35
Dhunibesi,Nagarpalika,DHADING,3,773,5912,4195,3574,574,161,44,144,4656,1371,151,25,6350,14,1,2,108,1301,6549,13,46,3,110,319,7111,16,142,8,27,299,100,7096,614,202,110
Gajuri,Gaunpalika,DHADING,3,1144,4373,3002,412,849,149,47,102,3344,945,103,38,4048,91,0,5,209,2029,3160,7,33,2,208,63,5135,7,8,3,1,16,206,4745,288,197,209
Galchi,Gaunpalika,DHADING,3,764,4502,3323,930,699,132,23,275,3304,536,176,65,7213,25,1,5,128,825,7048,32,112,2,130,66,7702,23,74,5,1,153,125,7350,397,273,129
Gangajamuna,Gaunpalika,DHADING,3,715,4030,3440,784,37,16,0,204,3123,2055,178,155,5629,17,1,12,105,3643,4312,17,72,3,105,42,7909,11,32,5,6,43,104,6726,740,581,105
Jwalamukhi,Gaunpalika,DHADING,3,639,4949,4194,1050,135,39,10,107,3736,7128,151,284,2401,49,3,46,130,6923,3009,27,47,56,130,68,9848,11,39,23,0,77,126,6796,1715,1554,127
Khaniyabash,Gaunpalika,DHADING,3,580,1926,1643,527,14,11,3,86,1222,3527,103,137,4741,11,1,2,93,3720,4669,23,95,15,93,54,8154,55,153,3,14,90,92,7187,991,344,93
Netrawati Dabjong,Gaunpalika,DHADING,3,365,2708,2372,691,44,14,2,55,2023,634,186,40,4421,13,1,6,94,1551,3665,12,73,0,94,36,5177,21,61,1,0,9,90,4735,429,139,92
Nilakantha,Nagarpalika,DHADING,3,1216,12442,9129,4080,2708,763,298,915,10507,4732,193,3652,4490,25,19,26,213,10032,2983,49,66,8,212,912,12034,42,90,14,15,35,208,6142,5551,1446,211
Rubi Valley,Gaunpalika,DHADING,3,1150,952,863,152,1,4,1,12,213,1889,67,33,2984,6,2,2,29,2526,2420,9,26,2,29,14,4842,6,110,4,0,12,24,4272,407,305,28
Siddhalek,Gaunpalika,DHADING,3,760,4292,3385,1058,214,66,13,89,3320,3285,31,207,907,45,0,12,52,2874,1561,19,32,1,52,109,4318,6,53,0,0,1,52,2775,921,791,52
Thakre,Gaunpalika,DHADING,3,790,5953,4212,2001,641,133,32,116,4727,3193,111,104,3281,3,6,5,61,2706,3905,9,40,47,57,72,6441,23,76,5,3,87,57,5761,608,334,61
Tripura Sundari,Gaunpalika,DHADING,3,668,4604,3857,870,216,40,11,269,3584,3541,137,36,4824,16,3,3,90,2586,5654,13,306,1,90,54,8217,50,148,3,33,59,86,7668,559,335,88
Bagmati,Gaunpalika,MAKAWANPUR,3,1561,4016,3135,753,25,20,1,143,2105,4726,17,84,11,138,3,0,24,3956,943,6,70,5,23,4175,14,11,532,112,94,44,21,2154,1982,845,22
Bakaiya,Gaunpalika,MAKAWANPUR,3,1710,5679,3746,1483,256,56,25,170,4244,6986,37,441,12,398,3,5,9,6026,1498,14,306,38,9,4855,1693,152,865,230,73,14,9,3963,2351,1569,8
Bhimphedi,Gaunpalika,MAKAWANPUR,3,580,4112,2950,1736,457,89,18,148,3323,4482,25,27,11,8,0,0,4,565,2436,13,1164,375,4,3518,15,16,850,76,76,2,4,3591,283,679,4
Hetauda,Upamahanagarpalika,MAKAWANPUR,3,1980,31938,20842,20242,18606,5131,1894,4601,28307,7995,67,764,6,59,11,10,16,7425,1065,13,399,10,16,8240,6,27,320,253,41,25,16,3707,3908,1296,17
Indrasarowar,Gaunpalika,MAKAWANPUR,3,677,2362,1747,1060,57,29,4,68,1670,25295,666,36412,88,5881,140,269,284,67109,1323,157,63,84,299,21089,38193,6531,1904,161,95,780,282,1984,57605,9146,300
Kailash,Gaunpalika,MAKAWANPUR,3,1204,2939,2536,149,6,2,1,26,1546,3937,20,765,4,23,2,13,14,2179,1005,3,942,636,13,4433,32,13,205,26,54,1,14,510,2451,1803,14
Makawanpurgadhi,Gaunpalika,MAKAWANPUR,3,642,4295,3518,1644,214,67,8,132,3370,6765,32,1653,9,609,5,17,26,7447,1082,19,218,323,27,5611,1138,984,1081,90,49,137,26,940,5096,3053,27
Manahari,Gaunpalika,MAKAWANPUR,3,1511,6313,4030,2416,1469,142,32,120,4971,6473,69,3960,32,1455,35,260,47,11914,314,32,7,16,48,4284,7312,120,394,6,4,162,49,757,8433,3094,47
Raksirang,Gaunpalika,MAKAWANPUR,3,1098,3393,3017,193,6,9,0,20,1725,7204,39,388,38,1266,0,7,18,17,1761,17,5874,1273,18,1026,4252,475,2770,94,197,128,18,1484,5707,1751,18
Thaha,Nagarpalika,MAKAWANPUR,3,1043,7722,5837,3475,1747,175,54,272,6166,8739,37,2353,22,851,14,16,23,9749,1207,54,339,683,23,4949,5482,565,781,30,91,136,21,1415,6571,4046,23
Parsa Wildlife Reserve,Wildlife Reserve,MAKAWANPUR,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Chitawan National Park,National Park,MAKAWANPUR,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Baudhimai,Nagarpalika,RAUTAHAT,2,434,4159,1670,698,55,54,1,42,2394,2612,362,8565,782,17,10,28,121,11540,762,51,12,12,120,5428,6752,30,5,53,1,115,113,2169,9160,1050,118
Brindaban,Nagarpalika,RAUTAHAT,2,984,5078,2091,1305,59,41,8,65,2880,2645,33,1032,2557,452,1,44,28,5665,1057,14,21,7,28,1079,5533,7,4,8,0,133,28,3794,2119,850,29
Chandrapur,Nagarpalika,RAUTAHAT,2,1526,11326,5766,6870,1520,349,77,504,7417,3268,41,950,1244,612,1,7,22,5130,963,12,14,4,22,795,5281,3,3,23,0,18,22,3415,1561,1147,22
Dewahhi Gonahi,Nagarpalika,RAUTAHAT,2,1254,3346,1534,601,20,25,6,28,2016,8281,168,10877,808,1631,7,94,91,20626,1094,50,20,72,95,8859,12661,34,7,11,1,289,95,3230,13828,4802,97
Durga Bhagwati,Gaunpalika,RAUTAHAT,2,847,2900,1978,1101,111,40,11,37,1912,11559,64,2200,294,1716,5,41,86,13730,2032,25,23,65,90,3100,12161,26,11,142,6,434,85,4241,8612,3028,84
Gadhimai,Nagarpalika,RAUTAHAT,2,1530,4422,2347,891,67,33,7,23,2246,4698,86,47,755,39,0,0,45,2652,2833,5,30,105,45,470,4655,73,310,10,59,49,44,4762,352,512,44
Garuda,Nagarpalika,RAUTAHAT,2,1290,5972,2501,2137,219,87,15,155,3758,9563,88,711,725,372,1,10,51,8371,2963,12,34,90,51,479,10599,66,162,111,12,43,49,6709,4270,491,51
Gaur,Nagarpalika,RAUTAHAT,2,618,4825,2374,2343,1282,246,73,469,3358,5782,148,1594,4051,371,4,41,103,8123,3693,28,38,106,106,2212,9389,20,65,44,0,261,103,8463,2702,825,104
Gujara,Nagarpalika,RAUTAHAT,2,1137,5961,2667,1664,222,54,3,36,3130,4707,190,742,2721,7,4,5,145,4732,3561,19,55,8,146,1124,6756,36,391,20,0,53,141,6781,1154,441,145
Ishanath,Nagarpalika,RAUTAHAT,2,1236,4343,2154,825,131,31,9,33,2939,2852,146,99,4641,208,0,4,27,3591,4164,16,46,133,27,98,7617,80,128,10,2,17,25,7346,500,104,27
Katahariya,Nagarpalika,RAUTAHAT,2,764,4954,2340,989,113,59,7,44,2759,1063,89,225,5009,7,2,37,75,3917,2462,5,36,12,75,109,6153,12,10,94,0,55,74,5733,619,81,74
Madhav Narayan,Nagarpalika,RAUTAHAT,2,912,4202,1738,723,23,31,3,22,2138,8552,102,855,1397,291,0,10,43,7398,3574,13,112,110,43,934,9754,28,96,124,64,208,42,7993,2757,458,42
Maulapur,Nagarpalika,RAUTAHAT,2,411,3344,1555,505,18,15,2,14,1687,387,106,85,5557,64,1,11,135,2748,3250,141,26,47,134,88,5951,15,21,12,2,128,129,5638,273,301,134
Paroha,Nagarpalika,RAUTAHAT,2,1109,4089,1632,787,32,36,7,21,2420,398,70,96,4740,31,0,9,69,2900,2369,5,14,56,69,720,4500,22,26,4,0,74,67,4801,364,179,69
Phatuwa Bijayapur,Nagarpalika,RAUTAHAT,2,674,4791,2812,583,12,24,7,30,2439,7613,22,60,4,10,0,0,18,3686,2807,14,981,221,18,6608,4,21,232,647,118,81,16,2517,2754,2438,18
Rajdevi,Nagarpalika,RAUTAHAT,2,980,4274,2198,1069,73,45,13,17,2602,6264,6,31,5,17,0,2,16,5388,866,17,50,4,16,3856,4,1030,701,679,54,3,14,933,2067,3326,15
Rajpur,Nagarpalika,RAUTAHAT,2,1970,3561,1221,525,47,27,4,27,2067,6709,27,64,13,6,0,0,5,3216,1527,20,1293,763,5,5684,6,239,301,516,68,5,5,1751,2615,2453,5
Yemunamai,Gaunpalika,RAUTAHAT,2,925,2759,1030,672,29,25,2,22,1965,6044,13,63,1,8,0,0,23,3294,1850,27,772,187,22,4877,6,89,297,819,38,3,23,1566,1820,2744,22
Adarshkotwal,Gaunpalika,BARA,2,543,3304,1123,667,19,22,2,7,2129,957,80,63,5231,13,1,4,12,3983,2292,13,60,0,13,58,6219,12,30,6,1,22,13,4916,715,717,13
Baragadhi,Gaunpalika,BARA,2,861,3354,937,1258,52,29,7,75,1963,11405,474,20259,16,213,12,83,231,31136,1065,133,22,100,237,30678,58,94,188,375,117,958,225,955,23764,7736,238
Bishrampur,Gaunpalika,BARA,2,291,3062,731,1104,55,32,7,39,1890,3059,173,2480,5783,68,3,256,71,9218,2485,33,53,31,73,1329,10392,17,26,10,4,39,76,5865,3184,2769,75
Devtal,Gaunpalika,BARA,2,383,2689,552,672,59,34,5,30,1899,382,66,128,6306,40,1,72,44,4846,2072,11,57,9,44,26,6876,6,25,4,0,61,41,5139,1162,696,42
Jitpur Simara,Upamahanagarpalika,BARA,2,1620,19679,7876,11662,7362,951,214,902,15380,1009,104,92,5432,12,1,166,26,4802,1944,12,56,2,26,44,6664,13,41,7,1,49,23,4782,1195,839,26
Kalaiya,Upamahanagarpalika,BARA,2,1474,16806,5674,7737,2032,548,106,651,11812,4292,131,2869,5194,431,3,60,40,10316,2509,45,87,23,40,939,11868,34,25,6,2,109,37,5234,5816,1930,40
